jpg_id,file_name,sd_card,date_taken,monkey_group
327,20220415_SD01_4046.JPG,SD01,2022-04-15,Instigators
328,20220415_SD01_4050.JPG,SD01,2022-04-15,Instigators
329,20220415_SD01_4066.JPG,SD01,2022-04-15,Instigators
330,20220415_SD01_4067.JPG,SD01,2022-04-15,Instigators
331,20220415_SD01_4077.JPG,SD01,2022-04-15,Instigators
332,20220415_SD01_4078.JPG,SD01,2022-04-15,Instigators
333,20220415_SD01_4079.JPG,SD01,2022-04-15,Instigators
334,20220415_SD01_4080.JPG,SD01,2022-04-15,Instigators
335,20220415_SD01_4081.JPG,SD01,2022-04-15,Instigators
336,20220415_SD01_4082.JPG,SD01,2022-04-15,Instigators
337,20220415_SD01_4086.JPG,SD01,2022-04-15,Instigators
338,20220415_SD01_4087.JPG,SD01,2022-04-15,Instigators
339,20220415_SD01_4094.JPG,SD01,2022-04-15,Instigators
340,20220415_SD01_4095.JPG,SD01,2022-04-15,Instigators
341,20220415_SD01_4097.JPG,SD01,2022-04-15,Instigators
342,20220415_SD01_4105.JPG,SD01,2022-04-15,Stranger Things
343,20220415_SD01_4109.JPG,SD01,2022-04-15,Stranger Things
344,20220415_SD01_4110.JPG,SD01,2022-04-15,Stranger Things
345,20220415_SD01_4112.JPG,SD01,2022-04-15,Stranger Things
346,20220415_SD01_4116.JPG,SD01,2022-04-15,Stranger Things
347,20220415_SD01_4119.JPG,SD01,2022-04-15,Stranger Things
348,20220415_SD01_4120.JPG,SD01,2022-04-15,Stranger Things
349,20220415_SD01_4133.JPG,SD01,2022-04-15,Stranger Things
350,20220415_SD01_4192.JPG,SD01,2022-04-15,Zombies
351,20220415_SD01_4198.JPG,SD01,2022-04-15,Zombies
352,20220415_SD01_4202.JPG,SD01,2022-04-15,Zombies
353,20220415_SD01_4209.JPG,SD01,2022-04-15,Zombies
354,20220415_SD01_4210.JPG,SD01,2022-04-15,Zombies
355,20220415_SD01_4213.JPG,SD01,2022-04-15,Zombies
356,20220415_SD01_4214.JPG,SD01,2022-04-15,Zombies
357,20220415_SD01_4220.JPG,SD01,2022-04-15,Zombies
358,20220415_SD01_4232.JPG,SD01,2022-04-15,Zombies
359,20220415_SD01_4238.JPG,SD01,2022-04-15,Zombies
360,20220415_SD01_4239.JPG,SD01,2022-04-15,Zombies
361,20220415_SD01_4240.JPG,SD01,2022-04-15,Zombies
362,20220415_SD01_4241.JPG,SD01,2022-04-15,Zombies
363,20220415_SD01_4246.JPG,SD01,2022-04-15,Zombies
364,20220419_SD02_4259.JPG,SD02,2022-04-19,Stranger Things
365,20220419_SD02_4260.JPG,SD02,2022-04-19,Stranger Things
366,20220419_SD02_4263.JPG,SD02,2022-04-19,Stranger Things
367,20220419_SD02_4264.JPG,SD02,2022-04-19,Stranger Things
368,20220419_SD02_4265.JPG,SD02,2022-04-19,Stranger Things
369,20220419_SD02_4267.JPG,SD02,2022-04-19,Stranger Things
370,20220419_SD02_4270.JPG,SD02,2022-04-19,Stranger Things
371,20220419_SD02_4272.JPG,SD02,2022-04-19,Stranger Things
372,20220419_SD02_4273.JPG,SD02,2022-04-19,Stranger Things
373,20220419_SD02_4278.JPG,SD02,2022-04-19,Stranger Things
374,20220419_SD02_4280.JPG,SD02,2022-04-19,Stranger Things
375,20220419_SD02_4281.JPG,SD02,2022-04-19,Stranger Things
376,20220419_SD02_4282.JPG,SD02,2022-04-19,Stranger Things
377,20220419_SD02_4283.JPG,SD02,2022-04-19,Stranger Things
378,20220419_SD02_4284.JPG,SD02,2022-04-19,Stranger Things
379,20220419_SD02_4286.JPG,SD02,2022-04-19,Stranger Things
380,20220419_SD02_4296.JPG,SD02,2022-04-19,Stranger Things
381,20220419_SD02_4297.JPG,SD02,2022-04-19,Stranger Things
382,20220419_SD02_4298.JPG,SD02,2022-04-19,Stranger Things
383,20220419_SD02_4299.JPG,SD02,2022-04-19,Stranger Things
384,20220419_SD02_4300.JPG,SD02,2022-04-19,Stranger Things
385,20220419_SD02_4301.JPG,SD02,2022-04-19,Stranger Things
386,20220419_SD02_4310.JPG,SD02,2022-04-19,Stranger Things
387,20220419_SD02_4315.JPG,SD02,2022-04-19,Stranger Things
388,20220419_SD02_4321.JPG,SD02,2022-04-19,Stranger Things
389,20220419_SD02_4322.JPG,SD02,2022-04-19,Stranger Things
390,20220419_SD02_4323.JPG,SD02,2022-04-19,Stranger Things
391,20220419_SD02_4324.JPG,SD02,2022-04-19,Stranger Things
392,20220419_SD02_4326.JPG,SD02,2022-04-19,Stranger Things
393,20220419_SD02_4327.JPG,SD02,2022-04-19,Stranger Things
394,20220419_SD02_4329.JPG,SD02,2022-04-19,Stranger Things
395,20220419_SD02_4331.JPG,SD02,2022-04-19,Stranger Things
396,20220419_SD02_4332.JPG,SD02,2022-04-19,Stranger Things
397,20220419_SD02_4334.JPG,SD02,2022-04-19,Stranger Things
398,20220419_SD02_4336.JPG,SD02,2022-04-19,Stranger Things
399,20220419_SD02_4337.JPG,SD02,2022-04-19,Stranger Things
400,20220419_SD02_4338.JPG,SD02,2022-04-19,Stranger Things
401,20220419_SD02_4339.JPG,SD02,2022-04-19,Stranger Things
402,20220419_SD02_4340.JPG,SD02,2022-04-19,Stranger Things
403,20220419_SD02_4344.JPG,SD02,2022-04-19,Stranger Things
404,20220419_SD02_4345.JPG,SD02,2022-04-19,Stranger Things
405,20220419_SD02_4346.JPG,SD02,2022-04-19,Stranger Things
406,20220419_SD02_4347.JPG,SD02,2022-04-19,Stranger Things
407,20220419_SD02_4348.JPG,SD02,2022-04-19,Stranger Things
408,20220419_SD02_4349.JPG,SD02,2022-04-19,Stranger Things
409,20220419_SD02_4352.JPG,SD02,2022-04-19,Stranger Things
410,20220419_SD02_4353.JPG,SD02,2022-04-19,Stranger Things
411,20220419_SD02_4358.JPG,SD02,2022-04-19,Stranger Things
412,20220419_SD02_4372.JPG,SD02,2022-04-19,Stranger Things
