jpg_id,file_name,sd_card,date_taken,monkey_group,orientation,contents
133,20220317_SD02_3285.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
134,20220317_SD02_3286.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
135,20220317_SD02_3287.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
136,20220317_SD02_3288.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
137,20220317_SD02_3289.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
138,20220317_SD02_3290.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
139,20220317_SD02_3291.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
140,20220317_SD02_3293.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
141,20220317_SD02_3295.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
142,20220317_SD02_3296.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
143,20220317_SD02_3300.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
144,20220317_SD02_3303.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
145,20220317_SD02_3304.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
146,20220317_SD02_3305.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
147,20220317_SD02_3306.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
148,20220317_SD02_3307.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
149,20220317_SD02_3309.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
150,20220317_SD02_3310.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
151,20220317_SD02_3311.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
152,20220317_SD02_3312.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
153,20220317_SD02_3313.JPG,SD02,2022-03-17,Best Frans,landscape,monkey
154,20220317_SD02_3315.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
155,20220317_SD02_3318.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
156,20220317_SD02_3319.JPG,SD02,2022-03-17,Best Frans,portrait,monkey
157,20220331_SD02_3334.JPG,SD02,2022-03-31,Instigators,landscape,monkey
158,20220331_SD02_3336.JPG,SD02,2022-03-31,Instigators,portrait,monkey
159,20220331_SD02_3337.JPG,SD02,2022-03-31,Instigators,portrait,monkey
160,20220331_SD02_3339.JPG,SD02,2022-03-31,Instigators,portrait,monkey
161,20220331_SD02_3340.JPG,SD02,2022-03-31,Instigators,portrait,monkey
162,20220331_SD02_3341.JPG,SD02,2022-03-31,Instigators,portrait,monkey
163,20220331_SD02_3342.JPG,SD02,2022-03-31,Instigators,landscape,monkey
164,20220331_SD02_3343.JPG,SD02,2022-03-31,Instigators,landscape,monkey
165,20220331_SD02_3344.JPG,SD02,2022-03-31,Instigators,landscape,monkey
166,20220331_SD02_3345.JPG,SD02,2022-03-31,Instigators,landscape,monkey
167,20220331_SD02_3346.JPG,SD02,2022-03-31,Instigators,portrait,monkey
168,20220331_SD02_3347.JPG,SD02,2022-03-31,Instigators,portrait,monkey
169,20220331_SD02_3348.JPG,SD02,2022-03-31,Instigators,portrait,monkey
170,20220331_SD02_3349.JPG,SD02,2022-03-31,Instigators,portrait,monkey
171,20220331_SD02_3350.JPG,SD02,2022-03-31,Instigators,portrait,monkey
172,20220331_SD02_3351.JPG,SD02,2022-03-31,Instigators,portrait,monkey
173,20220331_SD02_3352.JPG,SD02,2022-03-31,Instigators,portrait,monkey
174,20220331_SD02_3353.JPG,SD02,2022-03-31,Instigators,portrait,monkey
175,20220331_SD02_3354.JPG,SD02,2022-03-31,Instigators,portrait,monkey
176,20220331_SD02_3356.JPG,SD02,2022-03-31,Instigators,portrait,monkey
177,20220331_SD02_3357.JPG,SD02,2022-03-31,Instigators,portrait,monkey
178,20220331_SD02_3358.JPG,SD02,2022-03-31,Instigators,portrait,monkey
179,20220331_SD02_3359.JPG,SD02,2022-03-31,Instigators,portrait,monkey
180,20220331_SD02_3360.JPG,SD02,2022-03-31,Instigators,portrait,monkey
181,20220331_SD02_3365.JPG,SD02,2022-03-31,Instigators,portrait,monkey
