jpg_id,file_name,orientation
279,20220331_SD02_3613.JPG,landscape
280,20220331_SD02_3615.JPG,portait
281,20220331_SD02_3617.JPG,landscape
282,20220331_SD02_3619.JPG,portait
283,20220331_SD02_3625.JPG,portait
284,20220331_SD02_3626.JPG,portait
285,20220331_SD02_3628.JPG,portait
286,20220331_SD02_3631.JPG,portait
287,20220331_SD02_3632.JPG,portait
288,20220331_SD02_3634.JPG,portait
289,20220331_SD02_3643.JPG,portait
290,20220331_SD02_3644.JPG,portait
291,20220331_SD02_3645.JPG,portait
292,20220331_SD02_3647.JPG,portait
293,20220331_SD02_3648.JPG,landscape
294,20220331_SD02_3656.JPG,portait
295,20220331_SD02_3660.JPG,portait
296,20220331_SD02_3662.JPG,portait
297,20220331_SD02_3663.JPG,portait
298,20220331_SD02_3664.JPG,portait
299,20220331_SD02_3666.JPG,portait
300,20220406_SD01_3765.JPG,portait
301,20220406_SD01_3766.JPG,portait
302,20220406_SD01_3774.JPG,portait
303,20220406_SD01_3778.JPG,portait
304,20220406_SD01_3780.JPG,portait
305,20220406_SD01_3781.JPG,portait
306,20220406_SD01_3782.JPG,portait
307,20220406_SD01_3784.JPG,portait
308,20220406_SD01_3785.JPG,portait
309,20220406_SD01_3786.JPG,portait
310,20220406_SD01_3790.JPG,portait
311,20220406_SD01_3791.JPG,portait
312,20220406_SD01_3796.JPG,portait
313,20220406_SD01_3806.JPG,portait
314,20220406_SD01_3807.JPG,portait
315,20220406_SD01_3812.JPG,portait
316,20220406_SD01_3813.JPG,portait
317,20220407_SD03_3987.JPG,landscape
318,20220407_SD03_3988.JPG,landscape
319,20220407_SD03_3989.JPG,landscape
320,20220407_SD03_3990.JPG,landscape
321,20220407_SD03_3994.JPG,landscape
322,20220407_SD03_3996.JPG,landscape
323,20220407_SD03_3997.JPG,landscape
324,20220407_SD03_4003.JPG,landscape
325,20220415_SD01_4040.JPG,landscape
326,20220415_SD01_4044.JPG,portait
327,20220415_SD01_4046.JPG,portait
328,20220415_SD01_4050.JPG,portait
329,20220415_SD01_4066.JPG,portait
330,20220415_SD01_4067.JPG,landscape
