jpg_id,file_name,monkey_group,sd_card,date_taken
163,20220331_SD02_3342.JPG,Instigators,SD02,2022-03-31
164,20220331_SD02_3343.JPG,Instigators,SD02,2022-03-31
165,20220331_SD02_3344.JPG,Instigators,SD02,2022-03-31
166,20220331_SD02_3345.JPG,Instigators,SD02,2022-03-31
167,20220331_SD02_3346.JPG,Instigators,SD02,2022-03-31
168,20220331_SD02_3347.JPG,Instigators,SD02,2022-03-31
169,20220331_SD02_3348.JPG,Instigators,SD02,2022-03-31
170,20220331_SD02_3349.JPG,Instigators,SD02,2022-03-31
171,20220331_SD02_3350.JPG,Instigators,SD02,2022-03-31
172,20220331_SD02_3351.JPG,Instigators,SD02,2022-03-31
173,20220331_SD02_3352.JPG,Instigators,SD02,2022-03-31
174,20220331_SD02_3353.JPG,Instigators,SD02,2022-03-31
175,20220331_SD02_3354.JPG,Instigators,SD02,2022-03-31
176,20220331_SD02_3356.JPG,Instigators,SD02,2022-03-31
177,20220331_SD02_3357.JPG,Instigators,SD02,2022-03-31
178,20220331_SD02_3358.JPG,Instigators,SD02,2022-03-31
179,20220331_SD02_3359.JPG,Instigators,SD02,2022-03-31
180,20220331_SD02_3360.JPG,Instigators,SD02,2022-03-31
181,20220331_SD02_3365.JPG,Instigators,SD02,2022-03-31
182,20220331_SD02_3369.JPG,Instigators,SD02,2022-03-31
183,20220331_SD02_3370.JPG,Instigators,SD02,2022-03-31
184,20220331_SD02_3371.JPG,Instigators,SD02,2022-03-31
185,20220331_SD02_3376.JPG,Instigators,SD02,2022-03-31
186,20220331_SD02_3377.JPG,Instigators,SD02,2022-03-31
187,20220331_SD02_3379.JPG,Instigators,SD02,2022-03-31
188,20220331_SD02_3383.JPG,Instigators,SD02,2022-03-31
189,20220331_SD02_3387.JPG,Instigators,SD02,2022-03-31
190,20220331_SD02_3389.JPG,Instigators,SD02,2022-03-31
191,20220331_SD02_3394.JPG,Instigators,SD02,2022-03-31
192,20220331_SD02_3395.JPG,Instigators,SD02,2022-03-31
193,20220331_SD02_3398.JPG,Instigators,SD02,2022-03-31
194,20220331_SD02_3399.JPG,Instigators,SD02,2022-03-31
